"자치구별(1)","자치구별(2)","시점",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)","시점",성별(1),20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","강남구","2017",계,539,3277,9692,11378,8980,5878,4856,3331,3248,3093,2646,2174,1680,1107,895
"합계","강남구","2018",계,421,3182,9982,10967,9206,5786,4805,3342,3071,3146,2614,2299,1733,1188,985
"합계","강남구","2019",계,607,3362,10619,11474,9386,5964,5095,3551,3139,3386,2805,2470,1863,1255,1097
"합계","강남구","2020",계,498,3590,11221,12034,9433,6373,5181,3700,3152,3482,3061,2697,2061,1343,1173
"합계","강남구","2021",계,397,3559,11227,12407,9231,6990,5206,4370,3275,3731,3585,2872,2326,1509,1301
"합계","송파구","2017",계,282,2361,8026,9402,7439,5392,4985,3675,4193,3767,2936,2360,1865,1272,893
"합계","송파구","2018",계,286,2684,9374,10066,7975,5462,5118,3887,4243,4320,3176,2557,1996,1328,979
"합계","송파구","2019",계,282,2906,10754,11025,8596,5673,5306,4144,4384,4663,3448,2962,2182,1434,1102
"합계","송파구","2020",계,284,3099,11972,11929,8942,6143,5334,4388,4341,4938,3994,3273,2295,1553,1209
"합계","송파구","2021",계,243,3250,13028,13086,9127,6677,5424,4876,4377,5367,4633,3519,2591,1752,1312
"합계","강동구","2017",계,162,1514,4460,4878,4180,3394,3556,3248,3920,3531,2693,2051,1688,1074,701
"합계","강동구","2018",계,144,1580,4861,4839,4242,3261,3576,3171,3934,3852,2773,2253,1765,1126,749
"합계","강동구","2019",계,157,1859,5687,5270,4403,3306,3631,3332,3886,4134,3042,2500,1876,1276,829
"합계","강동구","2020",계,152,1971,6990,6124,4657,3746,3783,3592,3885,4585,3663,2809,2019,1385,955
"합계","강동구","2021",계,150,2392,8539,7152,5043,4158,3826,3889,4124,5100,4481,3162,2234,1582,10
