# DL_YM,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,GD_LCLS_NM,GD_LCLS_CD,GD_MCLS_NM,GD_MCLS_CD,GD_SCLS_NM,GD_SCLS_CD,CTPV_NM,CTPV_CD,CTGG_NM,CTGG_CD,EMD_NM,EMD_CD,INVC_CONT
201904,식품,1006,가공식품,10061001,장류,1.0061E+11,식음료품 및 담배,50,김치 및 향신료,5005,조미료/양념 및 방부제,500502,서울특별시,11,금천구,11545,가산동,1154510100,100
201904,디지털/가전,1003,자동차기기,10031010,카팩,1.0031E+11,자동차 및 이륜차,25,자동차부품,2502,기타 자동차 용품 및 액세서리,250203,서울특별시,11,금천구,11545,가산동,1154510100,10
201904,생활건강,1004,수집품,10041010,수집품기타,1.0041E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,금천구,11545,가산동,1154510100,655
201904,생활건강,1004,생활용품,10041008,성인용기저귀,1.0041E+11,의류/가방 및 개인신체관리용품,53,의류,5301,속옷 및 양말류,530102,서울특별시,11,금천구,11545,가산동,1154510100,13
201904,생활건강,1004,생활용품,10041008,성인용기저귀,1.0041E+11,의류/가방 및 개인신체관리용품,53,의류,5301,속옷 및 양말류,530102,서울특별시,11,종로구,11110,공평동,1111012700,1
201904,생활건강,1004,생활용품,10041008,성인용기저귀,1.0041E+11,의류/가방 및 개인신체관리용품,53,의류,5301,속옷 및 양말류,530102,서울특별시,11,종로구,11110,구기동,1111018200,7
201904,생활건강,1004,수집품,10041010,수집품기타,1.0041E+11,가정용품 및 가전제품,52,바닥깔개/커튼류 및 잡화,5207,인테리어 소품/수집품 및 잡화,520703,서울특별시,11,종로구,11110,묘동,1111015100,29
201904,화장품/미용,1010,기초화장품,10101001,스킨케어,1.0101E+11,의류/가방 및 개인신체관리용품,53,개인신체관리용품,5304,목욕 및 바디용품,530402,서울특별시,11,금천구,11545,가산동,1154510100,3563
201904,디지털/가전,1003,컴퓨터,10031014,태블릿PC액세서리,1.0031E+11,통신 및 컴퓨터,43,컴퓨터장비 및 액세서리,4302,컴퓨터 부속 및 액세서리,430204,서울특별시,11,금천구,11545,가산동,1154510100,141
201904,디지털/가전,1003,컴퓨터,10031014,태블릿PC액세서리,1.0031E+11,통신 및 컴퓨터,43,컴퓨터장비 및 액세서리,4302,컴퓨터 부속 및 액세서리,430204,서울특별시,11,종로구,11110,구기동,1111018200,19
